10201 7	
	 1.051417962e-33 -3.746662114e-33 7.56381547e-33 -6.410555131e-33 -1.282671652e-32 9.517332988e-33 8.174828711e-33
	 8.710753541e-31 -1.762125902e-30 2.785271529e-30 -1.88975251e-30 -3.751842913e-30 2.917759086e-30 1.840488705e-30
	 0.004584455503 -0.01083415188 0.01810205351 -0.01287883235 -0.02905433314 0.02077668064 0.01969999075
	 3.482767353e-30 -7.047530173e-30 1.114148066e-29 -7.560720129e-30 -1.500834592e-29 1.16718599e-29 7.36154604e-30
	 -2.518734058e-34 -3.591756457e-34 1.605383039e-33 -1.921932926e-33 -3.035719308e-33 2.317392559e-33 1.55406745e-33
	 8.87795635e-33 -2.227997998e-32 3.870840328e-32 -2.887912204e-32 -6.357235259e-32 4.653026265e-32 4.325652223e-32
	 0.001399813708 -0.003257371706 0.005397117304 -0.003800699005 -0.008628733431 0.00615090407 0.005842898901
	 0.002702614099 -0.0057656186 0.00896653448 -0.005819371649 -0.01391585477 0.009652766703 0.00957535129
	 3.492756439e-30 -7.059980588e-30 1.115004438e-29 -7.556949449e-30 -1.501453137e-29 1.167153794e-29 7.370186122e-30
	 1.743575177e-30 -3.527319204e-30 5.574652008e-30 -3.781425655e-30 -7.508857928e-30 5.83825518e-30 3.684454801e-30
	 1.083993587e-32 -2.390541859e-32 3.87084445e-32 -2.684532161e-32 -6.271335768e-32 4.580151647e-32 4.404010825e-32
	 0.02123017308 -0.04380633159 0.06761524667 -0.0440135279 -0.1070822947 0.07652690247 0.07571999661
	 3.203442793e-32 -6.768620888e-32 1.069878446e-31 -7.229733856e-32 -1.729936925e-31 1.26704343e-31 1.232551173e-31
	 0.01162792988 -0.02526135754 0.04018291675 -0.02708164694 -0.06386297887 0.04554881999 0.04441235533
	 0.0103975315 -0.02161992522 0.0330237798 -0.0209594858 -0.05099329165 0.03515688229 0.03542289506
	 0.0233976619 -0.04677067713 0.069870381 -0.04318928761 -0.1078925375 0.0746952649 0.07618166218
	 0.01550083653 -0.02969927491 0.04245808748 -0.02441879991 -0.06365322544 0.04235439609 0.04532251255
	 0.003733916343 -0.007457874616 0.01097137997 -0.006563909417 -0.01652867124 0.01105468457 0.01154937129
	 0.004910966263 -0.008995954938 0.01225719646 -0.006471482924 -0.01783428955 0.01135800879 0.01292408477
	 3.493756162e-30 -7.047524496e-30 1.111626611e-29 -7.523836005e-30 -1.495758042e-29 1.16292429e-29 7.340689193e-30
	 1.747059045e-30 -3.528254253e-30 5.568898088e-30 -3.771727818e-30 -7.496221713e-30 5.8271286e-30 3.679425329e-30
	 2.390901446e-32 -4.839070755e-32 7.481651073e-32 -4.932279608e-32 -1.210417105e-31 8.940204076e-32 8.710871073e-32
	 0.04663218159 -0.08976145191 0.1331487096 -0.08249992457 -0.2104093198 0.1516930594 0.1514722599
	 6.244964163e-32 -1.225392306e-31 1.860074718e-31 -1.197608542e-31 -2.99966314e-31 2.22014301e-31 2.169555999e-31
	 0.03296841257 -0.06547547697 0.09884990493 -0.06262455138 -0.1562594033 0.1120648915 0.1116873506
	 0.06210007195 -0.1165883425 0.1679169169 -0.09893433474 -0.2590997898 0.1808264426 0.186682607
	 0.05756932789 -0.1046824024 0.145315623 -0.08023003901 -0.2184446883 0.1467756885 0.1588756289
	 0.04069237613 -0.078601716 0.1150392497 -0.06921949417 -0.1773451597 0.1230476258 0.126646449
	 0.03370111732 -0.06284837208 0.08851782522 -0.04990462613 -0.1329466482 0.08893135118 0.09581541419
	 0.02275605649 -0.03818538775 0.04843062332 -0.02263675041 -0.06977580855 0.0433879232 0.0539935023
