10201 7	
	 -1.738153182e-30 3.517206045e-30 -5.561331623e-30 3.774951641e-30 7.490146255e-30 -5.826461844e-30 -3.67058976e-30
	 -8.702650373e-31 1.761243399e-30 -2.784806492e-30 1.890263456e-30 3.751295948e-30 -2.917794501e-30 -1.838950869e-30
	 0.002680595988 -0.005837539405 0.009259847524 -0.006226173418 -0.0146866681 0.0103849674 0.01033995775
	 3.21764207e-34 -1.482129531e-33 3.551784219e-33 -3.534630919e-33 -6.271876074e-33 5.220606645e-33 2.891763238e-33
	 -3.479531543e-30 7.039571375e-30 -1.112816173e-29 7.550995719e-30 1.498823101e-29 -1.165765129e-29 -7.350465563e-30
	 -3.46691965e-30 7.022233276e-30 -1.111165927e-29 7.548827926e-30 1.496980412e-29 -1.164731913e-29 -7.337638421e-30
	 0.001368606901 -0.003146833413 0.005215205668 -0.00369035583 -0.008413500201 0.006077890391 0.005706503758
	 0.004535997589 -0.01079625766 0.01815257074 -0.01297736399 -0.02915335174 0.02093671239 0.01945395634
	 9.259145436e-33 -2.287143652e-32 3.905411963e-32 -2.830933148e-32 -6.200857852e-32 4.417986335e-32 3.984877604e-32
	 8.42463577e-34 -3.595758426e-33 7.633054701e-33 -6.629939249e-33 -1.319906527e-32 9.882217063e-33 8.531034347e-33
	 -1.733975525e-30 3.514901778e-30 -5.565020865e-30 3.783659227e-30 7.500690824e-30 -5.836366611e-30 -3.676181004e-30
	 0.005220593762 -0.01020152398 0.01526379231 -0.009629539835 -0.02432976472 0.01758591497 0.01793003641
	 -3.463207917e-30 7.029633681e-30 -1.113961639e-29 7.581396889e-30 1.502727602e-29 -1.169510542e-29 -7.379657978e-30
	 0.003812550185 -0.008014266645 0.01248242149 -0.008245510999 -0.01986285192 0.01415168744 0.01429368256
	 0.01037883228 -0.02176039134 0.03377874087 -0.02206421307 -0.05320049944 0.03768105194 0.03704386234
	 0.01581106826 -0.03096416719 0.04600340991 -0.02844700825 -0.07196280909 0.05090416032 0.05148175819
	 0.02333030647 -0.04660390992 0.06962838926 -0.04306570041 -0.1076063078 0.07459074849 0.07597669813
	 0.01145698144 -0.02466788091 0.03861667232 -0.02526999924 -0.06003397649 0.04167267863 0.0411043425
	 0.0206838236 -0.04190806044 0.06262804155 -0.03848301049 -0.09550354342 0.06477055949 0.06677642683
	 3.108508379e-32 -6.340927609e-32 9.443459689e-32 -5.758066156e-32 -1.42099228e-31 9.476470196e-32 9.763180056e-32
	 1.004565383e-32 -2.170529657e-32 3.358508048e-32 -2.137910937e-32 -5.152735039e-32 3.475405361e-32 3.599171592e-32
	 -1.736006891e-30 3.527672654e-30 -5.594600634e-30 3.812082656e-30 7.555672401e-30 -5.881223197e-30 -3.714643201e-30
	 0.007521172767 -0.01329912827 0.01883330877 -0.01101455474 -0.03004588176 0.02232380276 0.0223951932
	 -3.471400543e-30 7.066170328e-30 -1.121918238e-29 7.654811229e-30 1.517681414e-29 -1.181832298e-29 -7.492336525e-30
	 0.006547611014 -0.01205927955 0.01744483958 -0.01052722819 -0.02780614072 0.0203780255 0.02073804502
	 0.02474813905 -0.04412564167 0.06197663781 -0.03546976759 -0.09684660765 0.06966652161 0.07098288758
	 0.04392033495 -0.07944341281 0.1117265514 -0.06372009748 -0.1724610987 0.1210832469 0.1261544281
	 0.02070449828 -0.03844161479 0.05529937659 -0.03277305183 -0.08645011092 0.06165813742 0.06290908607
	 0.03428747003 -0.06480999837 0.09355878907 -0.05532944583 -0.1443024307 0.100435168 0.1041339893
	 0.06026954202 -0.1111291051 0.1553707555 -0.08689214893 -0.233692998 0.1561036007 0.1704523962
	 0.05798226066 -0.1061172086 0.1490848219 -0.0844242321 -0.2272077974 0.1556129183 0.1659511937
	 0.04017979035 -0.0770471395 0.1113640488 -0.0655752603 -0.1696560938 0.1154418019 0.1216219549
	 0.03151261701 -0.06081449813 0.08733433894 -0.0506388227 -0.1310997721 0.08698555568 0.09345446804
	 5.728029013e-32 -1.060702617e-31 1.462806123e-31 -7.999348927e-32 -2.161037505e-31 1.39267455e-31 1.574196816e-31
	 2.160873494e-32 -4.17197211e-32 5.921983691e-32 -3.354156903e-32 -8.806295076e-32 5.698605505e-32 6.36436212e-32
	 0.04368804648 -0.080801853 0.1121139255 -0.06177032403 -0.1667410115 0.1089091983 0.1217391395
	 -1.744816468e-30 3.556009567e-30 -5.651265215e-30 3.861616406e-30 7.65927609e-30 -5.966744792e-30 -3.790740584e-30
	 0.008170479889 -0.0139705213 0.01940345 -0.01096294805 -0.03081763921 0.0230668457 0.02269440488
	 0.008601642953 -0.01421960006 0.0192649313 -0.01035585183 -0.03024297 0.02263983004 0.02174973408
	 -3.494510479e-30 7.135127447e-30 -1.135365658e-29 7.76935589e-30 1.542319678e-29 -1.202293807e-29 -7.678939486e-30
	 0.02792947352 -0.048051508 0.06605999943 -0.03651521823 -0.1030837059 0.07477245829 0.07535512386
	 0.03031583136 -0.05045082156 0.06778924559 -0.03590973708 -0.1051524787 0.07651201914 0.07600646657
	 0.05852086327 -0.09856298025 0.1326894801 -0.07047772856 -0.204436397 0.1457557484 0.1497692399
	 0.05200046983 -0.0906069825 0.1246095956 -0.06865844305 -0.1923325283 0.1361745545 0.1413854802
	 0.1081657606 -0.185092146 0.2478135093 -0.1298330307 -0.3745474429 0.2549352372 0.2802013589
	 0.07349556469 -0.1293666965 0.177661127 -0.09730045798 -0.2712523913 0.187564882 0.2003225037
	 0.08658846424 -0.1472141938 0.1979727904 -0.1047486279 -0.3022979042 0.2107504082 0.2239381613
	 0.08590836714 -0.1522228691 0.2079227054 -0.1124064337 -0.3134663748 0.2112130381 0.2324010174
	 0.08270407645 -0.1471482745 0.1996751622 -0.1064958708 -0.2977972934 0.1960425171 0.2218365291
	 0.05685327286 -0.1012266831 0.1362612961 -0.0717557849 -0.2018092829 0.1303724963 0.1515426797
	 0.1069689023 -0.1842115687 0.243514963 -0.1246821156 -0.3620633546 0.2361803418 0.2766551462
	 0.1170880592 -0.2011853996 0.2676852978 -0.1385010364 -0.4006242333 0.2664061239 0.3026924082
	 3.55504425e-32 -6.309700648e-32 8.414686923e-32 -4.380631533e-32 -1.248949819e-31 7.969636213e-32 9.597807106e-32
	 8.614065994e-32 -1.48364131e-31 1.943719513e-31 -9.943027698e-32 -2.896888506e-31 1.858315101e-31 2.255851667e-31
	 0.07064784353 -0.1216877535 0.1598850626 -0.08136426575 -0.2373122347 0.1527669411 0.1835597333
	 -1.761369464e-30 3.600695068e-30 -5.735167064e-30 3.93083223e-30 7.809806901e-30 -6.091727683e-30 -3.90176035e-30
	 -3.532954485e-30 7.235541772e-30 -1.153903768e-29 7.918302078e-30 1.575310176e-29 -1.229679744e-29 -7.924629288e-30
	 0.008851428316 -0.01410247304 0.01846203992 -0.009197379383 -0.02838192524 0.02104298914 0.01967562172
	 0.008947868083 -0.01365383002 0.01703059866 -0.007515325771 -0.02534409709 0.0183735503 0.01658003283
	 0.03197909759 -0.05138555598 0.06711610554 -0.03355263987 -0.1030242153 0.07484115694 0.07284855885
	 0.0330274407 -0.0511042584 0.06437197236 -0.02961762365 -0.09712905966 0.06986988876 0.06641377425
	 0.06714191572 -0.1056247075 0.1348830928 -0.0643586172 -0.2047421368 0.1460647738 0.1451368416
	 0.06353154553 -0.1034852771 0.1360159792 -0.06898592207 -0.2084035695 0.1489809079 0.1508844027
	 0.1055468715 -0.1680570811 0.2159786826 -0.1047120099 -0.3275528756 0.2302912294 0.2385361837
	 0.1269674119 -0.2103429844 0.2761657693 -0.1398208483 -0.4176826136 0.2866882653 0.3130200046
	 0.09725516693 -0.1600334177 0.2107363844 -0.1073248433 -0.3212788953 0.2254548927 0.2369082026
	 0.1423576788 -0.2285482726 0.2939211353 -0.1429740647 -0.4438959674 0.3064614942 0.3308170287
	 0.1467693894 -0.2443003611 0.3192667502 -0.1602609647 -0.4791511957 0.3218980498 0.3645996845
	 0.1718484346 -0.2774698475 0.3559588603 -0.1725787981 -0.534619425 0.3620327578 0.4069695777
	 0.1883727344 -0.3053993466 0.3904603897 -0.1885803976 -0.5840200119 0.3886811143 0.4538389919
	 0.1507118209 -0.2515979368 0.3269849639 -0.1627097082 -0.4878209945 0.321470522 0.3770927058
	 0.1587334088 -0.2583727252 0.3283139094 -0.1586588452 -0.4914946669 0.3196483135 0.3964045062
	 0.132404107 -0.2213881179 0.2863046062 -0.1417736004 -0.4261933492 0.2768552023 0.3345643359
