3721 7	
	 5.618615921e-34 6.191111592e-33 5.637521271e-33 5.877321359e-33 5.574683937e-33 -6.024617325e-33 -7.581029497e-33
	 -1.592329672e-34 -1.368920906e-33 -1.7455762e-33 -2.175874609e-33 -2.141210467e-33 2.32606715e-33 2.894272227e-33
	 -1.587004905e-33 4.497112806e-33 7.032766089e-33 6.641546818e-33 7.273782173e-33 -6.337003085e-33 -1.032949374e-32
	 -7.012826489e-34 1.291399913e-33 1.238853343e-33 1.333981845e-33 1.441641953e-33 -8.2686228e-34 -2.504824123e-33
	 -2.110919162e-33 2.946257634e-34 1.941374141e-33 1.929158887e-33 1.727872119e-33 -9.852608655e-34 -3.024893899e-33
	 -0.154137577 -0.3357254009 0.1690806066 -0.1921261406 0.1211547695 0.2245917785 -0.1363667398
	 -0.07055625235 -0.3541505443 -0.1024060525 -0.1291293752 -0.03705233717 0.1481280007 0.06742257958
	 -2.071499016e-34 -1.087913692e-33 -3.043504649e-33 -2.573140814e-33 -3.647266652e-33 3.067677575e-33 4.265411655e-33
	 -9.544768664e-34 -5.374413765e-33 -4.329481631e-33 -4.276074689e-33 -3.880510286e-33 4.550362448e-33 4.903885928e-33
	 -0.3390213848 -0.6850750887 -0.3989333141 -0.08149719251 -0.3644568559 0.03735798384 0.3861104277
	 -0.09696475525 -0.1633828156 0.03105766983 -0.1232004727 0.09511602343 0.1548634703 -0.0402479444
	 -0.09163730103 -0.2418970576 0.004169787265 -0.1344024784 0.08648708244 0.2062884452 -0.1143076944
	 -2.20023235e-33 -5.254133095e-34 1.665993658e-33 1.204053478e-33 3.063612306e-34 -1.582832129e-34 -2.236989086e-33
	 -8.305581438e-34 5.662973357e-34 4.379092429e-34 9.460483461e-34 2.418962489e-34 -4.759668366e-34 -1.023446305e-33
	 -0.3297369522 -1.041984061 0.2076706333 -0.6499151484 0.3658955552 0.8953788085 -0.5298334619
	 -0.1341997529 -0.5128858957 -0.3285613114 -0.08859661827 -0.3581412413 0.05570392009 0.3481210996
	 -0.2119824556 -0.7677749622 -0.02961683524 -0.2779486093 0.0775335439 0.4528254041 -0.02536881108
	 -0.1756344435 -1.035395671 -0.0407346042 -0.3597965332 -0.05384589489 0.5156220524 -0.002092872466
	 1.20914137e-34 -4.737650584e-34 -1.099066605e-33 -1.02969455e-33 -1.165307696e-33 1.111090511e-33 1.656898122e-33
	 -1.288056423e-34 -8.26692095e-34 -4.316875318e-35 -2.578487145e-34 -2.155484744e-34 3.031922624e-34 5.56085679e-34
	 -0.06638291509 -0.7170317602 0.07740961284 -0.2649923714 -0.04521580056 0.2017147436 0.2966807383
	 -1.042799273e-33 -3.657089129e-34 8.595869591e-34 6.583895193e-34 -1.285528147e-34 -2.755876134e-34 -9.295850268e-34
	 -2.481745156e-33 -1.210722072e-33 2.530495796e-33 3.980474887e-34 3.476170234e-34 1.42453569e-34 -2.307581276e-33
	 -0.06079333207 -0.08894869005 0.004348748519 -0.01670520794 0.01898609598 0.07345245753 -0.04207162098
	 -0.0614842405 -0.1305164223 -0.009497436685 -0.04925241254 0.03972787861 0.08804300139 -0.007601293087
	 -0.1419150024 -0.8183218126 -0.06911103975 -0.3162593144 0.03668774362 0.411412882 0.1119151125
	 -0.1268824066 -0.9705195083 -0.1672777392 -0.2958990803 0.05188899379 0.6507029456 -0.1149034909
	 -0.1975948155 -0.5089166983 -0.0008386472455 -0.2844823277 0.1908748392 0.3737927817 0.005051070344
	 -0.1577342505 -0.4818983446 0.05908430056 -0.1483381456 0.05006675802 0.2185479648 -0.03999572238
	 0.007973476138 -0.6435075719 -0.00689620163 -0.302024183 0.1599414398 0.5008862445 -0.06763512556
	 -0.02634353954 -0.8699887264 -0.1833109501 -0.1862171649 -0.03871032608 0.5488274745 -0.01313133923
	 0.01511445499 -0.5349537516 -0.02314781112 -0.2817254298 0.3187795729 0.6978805175 -0.3666773682
	 5.405048832e-35 -2.73012926e-34 -8.4667783e-34 -7.829778312e-34 -7.501843721e-34 7.940769873e-34 1.221446433e-33
	 -0.1104974171 -0.8411739611 -0.2936236311 -0.1161888269 -0.3013808977 0.3087964995 0.2109349438
	 -0.1179216599 -0.9069128856 -0.2913244549 -0.1704541854 -0.1147364126 0.6203901054 -0.134143768
	 -6.824146019e-35 -2.437786902e-34 -3.378212233e-34 -5.080093926e-34 -3.573372552e-34 6.116331916e-34 5.966172975e-34
	 -0.04369008319 -0.0804346017 0.03122884342 0.01730705606 -0.03243933373 0.0006795310492 -0.003454756991
	 -0.04398130921 -0.08872994091 0.01112346712 -0.004319629544 0.001267759091 0.03574489013 -0.01277081234
	 -2.922371609e-33 -1.217751519e-33 3.310424173e-33 -8.781153806e-34 1.440183316e-33 9.910899826e-34 -3.117053245e-33
	 -1.280897619e-33 -6.137109526e-34 1.544505482e-33 -1.161210421e-34 4.128351417e-34 1.71916228e-34 -1.257981957e-33
	 -0.1458657995 -0.3642038133 0.02218997625 -0.07216507986 0.03534952027 0.1833918345 -0.05376904489
	 -0.1230348249 -0.3633991351 0.1286902673 -0.06524527733 -0.02695763824 0.04886133808 0.02254
	 -0.1444796904 -0.6292645849 0.06811137195 -0.2383286341 -0.003270129634 0.2206158945 0.04099357241
	 -0.1214304153 -0.7592031724 -0.03262128939 -0.1895273938 -0.06826651267 0.2614817629 0.07979117731
	 -2.231534075e-35 -2.009577056e-35 -2.811738999e-34 -3.555134602e-34 -2.197818494e-34 3.780853079e-34 3.49925091e-34
	 0.03308655209 -0.4615099642 -0.1146969327 -0.1925234575 0.3113844024 0.6791318567 -0.411517727
