14641 6	
	 -5.042235316e-30 9.355912032e-30 -1.03585231e-29 1.082973966e-29 6.748812982e-30 -7.480336664e-30
	 2.091943834e-34 -9.895943999e-34 1.699878984e-33 -1.972346567e-33 -1.40782324e-33 1.304403307e-33
	 0.0001006832573 -0.0004101229852 0.0006689017981 -0.0007625733958 -0.0005340997634 0.0005013871592
	 -1.842612418e-35 3.821556598e-36 6.299520869e-35 -1.187848482e-34 -1.219070437e-34 1.055125821e-34
	 -9.440840806e-30 1.751767131e-29 -1.939490029e-29 2.027707338e-29 1.263604592e-29 -1.400571775e-29
	 3.477456699e-05 -0.0001300254663 0.0002057083838 -0.0002324548592 -0.0001612092103 0.0001527065239
	 -1.072738448e-29 1.990488242e-29 -2.203840859e-29 2.304135724e-29 1.43591369e-29 -1.591536295e-29
	 8.810484747e-05 -0.000267660868 0.00037614827 -0.000399460695 -0.0002557660315 0.000250638828
	 -4.877985448e-35 -2.542774264e-35 1.867154302e-34 -2.816160612e-34 -2.536291591e-34 2.124832331e-34
	 -2.360179818e-30 4.379380507e-30 -4.848720133e-30 5.069286822e-30 3.159043766e-30 -3.50144908e-30
	 0.0004274959564 -0.001283238804 0.001797202567 -0.001909027536 -0.001221926885 0.001199570601
	 0.000991607486 -0.002610215223 0.003357927948 -0.003418188159 -0.002057618311 0.002095770702
	 2.083105957e-33 -5.475562892e-33 7.019535526e-33 -7.109304372e-33 -4.243354856e-33 4.329174928e-33
	 4.567617192e-34 -1.425261037e-33 2.021977301e-33 -2.146573712e-33 -1.371846434e-33 1.338139305e-33
	 0.001116352018 -0.002854981721 0.003608849023 -0.003654659815 -0.002184305255 0.002244969473
	 0.0007897373094 -0.001920279572 0.002341106264 -0.002334912928 -0.001363752774 0.001429369527
	 0.0001638199343 -0.0004320400477 0.0005556254062 -0.0005662085021 -0.0003418263479 0.0003479895686
	 -5.726892987e-30 1.062653409e-29 -1.176586092e-29 1.230152422e-29 7.666370538e-30 -8.497107463e-30
	 0.0003913391113 -0.001099268939 0.001480575278 -0.001548050339 -0.0009703803189 0.0009681158775
	 0.0002799178981 -0.0006498653236 0.0007631261551 -0.000746883779 -0.0004231701746 0.0004535431396
	 -1.217935639e-29 2.260021977e-29 -2.502442448e-29 2.616428918e-29 1.630623986e-29 -1.807271572e-29
	 1.948749622e-33 -4.663654793e-33 5.54718248e-33 -5.380208001e-33 -2.997552123e-33 3.195776301e-33
	 6.52296448e-33 -1.445116961e-32 1.612809238e-32 -1.510171106e-32 -7.918612883e-33 8.85600261e-33
	 0.001923961072 -0.004609830144 0.005525635016 -0.005416083694 -0.003071306018 0.003255630668
	 0.003138137857 -0.007044414199 0.007993804567 -0.007598144152 -0.00409021978 0.004505957751
	 -6.499062339e-30 1.206026998e-29 -1.335452831e-29 1.396310751e-29 8.702414824e-30 -9.64489241e-30
	 0.0005415838289 -0.001104361281 0.001182591197 -0.001129635465 -0.0006135050972 0.0007010917179
	 -1.381593067e-29 2.563985032e-29 -2.839317883e-29 2.968770937e-29 1.850327465e-29 -2.050643041e-29
	 0.0004218214277 -0.0009033234305 0.0009988677 -0.0009568559313 -0.0005225472943 0.0005836089884
	 0.00393395564 -0.008697606643 0.009842230074 -0.009453592779 -0.005181725679 0.005703487565
	 0.002050044657 -0.004733170841 0.005549119886 -0.005428445196 -0.003070680369 0.003297230282
	 0.004130940707 -0.009264532821 0.01056019288 -0.0101205455 -0.005525964323 0.00605852354
	 0.002277995716 -0.005426390883 0.00650394775 -0.006407957201 -0.00366616848 0.003884151233
	 0.00123477331 -0.002751140947 0.003142479258 -0.003050142296 -0.001703765904 0.001860366504
	 0.001718799763 -0.003607326456 0.003943375941 -0.003777297871 -0.00206153269 0.00232197389
	 0.003036761382 -0.006563334718 0.007316808919 -0.007017876419 -0.003837600207 0.004265406931
	 0.004811748744 -0.0101882017 0.01095295541 -0.01008547142 -0.005128705438 0.005916948865
	 0.006737098759 -0.01360945634 0.01396467389 -0.0125119797 -0.006045149774 0.007309256546
	 1.453236813e-32 -2.87994352e-32 2.878834921e-32 -2.524444011e-32 -1.171729987e-32 1.46510355e-32
	 5.001695587e-33 -1.045263597e-32 1.100894513e-32 -9.938899674e-33 -4.874859592e-33 5.757762453e-33
	 0.00649355081 -0.01387841705 0.01515271077 -0.01417569853 -0.007415996118 0.008415932617
	 0.009723144063 -0.01984458157 0.02071915432 -0.01888494812 -0.00941595054 0.01114134527
	 0.006822782239 -0.01446906183 0.01578322935 -0.0148618978 -0.007862249507 0.008908839396
	 0.01044580054 -0.02136587643 0.02252971696 -0.02082085621 -0.01064154572 0.01242758227
	 0.0006697570059 -0.001317249981 0.001386203952 -0.001335625152 -0.000735493372 0.0008497198586
	 -7.368808301e-30 1.367611056e-29 -1.514564181e-29 1.583647092e-29 9.870592199e-30 -1.093878094e-29
	 0.0007858216453 -0.001510463507 0.001583556863 -0.001550756768 -0.0008765565371 0.001012804892
	 -1.565833448e-29 2.906391374e-29 -3.218944435e-29 3.365843823e-29 2.097953425e-29 -2.324882842e-29
	 0.002188017983 -0.004401977831 0.004686343503 -0.004489140504 -0.002448053586 0.002809161606
	 0.005230181008 -0.01035593008 0.01087057516 -0.01033551322 -0.005554472142 0.006449912638
	 0.009569429364 -0.01945848922 0.02055575711 -0.01917533294 -0.009963443267 0.0115803603
	 0.002679276293 -0.00522395461 0.005478863032 -0.005289677077 -0.002920040128 0.003381890777
	 0.007601692139 -0.01526761336 0.01608070072 -0.01513305321 -0.007985779513 0.009275516418
	 0.005656832131 -0.01186080007 0.01288550592 -0.01220003589 -0.006515827326 0.00739134276
	 0.004153934603 -0.008527593737 0.00915594795 -0.00869827752 -0.00467320962 0.005339790903
	 0.009156732063 -0.0176550861 0.01725061185 -0.01503276774 -0.006887341117 0.00880970468
	 0.0117712387 -0.02179709666 0.02038318245 -0.01736881679 -0.007625837185 0.01030221074
	 2.702309234e-32 -4.886287252e-32 4.419832434e-32 -3.685388391e-32 -1.556953764e-32 2.207830383e-32
	 1.005555403e-32 -1.900985868e-32 1.802855691e-32 -1.533408807e-32 -6.710111337e-33 8.967375233e-33
	 -1.772988581e-29 3.291699811e-29 -3.64639077e-29 3.813056146e-29 2.376994234e-29 -2.633807006e-29
	 0.0009185778973 -0.001737889802 0.001830447067 -0.001828875093 -0.001065758404 0.00122441529
	 -8.347217149e-30 1.549508722e-29 -1.716279731e-29 1.794646135e-29 1.118662102e-29 -1.239605843e-29
	 0.001036114743 -0.001945499748 0.002074869286 -0.002118522272 -0.001274210168 0.001449528086
	 0.01809261751 -0.03408635604 0.03273730152 -0.02849119823 -0.01300886471 0.01690015135
	 0.01534000464 -0.03024221831 0.03073838999 -0.02782558845 -0.01367843497 0.01657203707
	 0.02094149217 -0.03993561863 0.03921061377 -0.03483505671 -0.01652284391 0.02079401415
	 0.01342441331 -0.02633580048 0.02641144688 -0.02353007318 -0.01123404534 0.01387179316
	 0.01887032141 -0.03617038436 0.03642661911 -0.03348804673 -0.01690385811 0.0204888985
	 0.01441576711 -0.02848551717 0.02927398965 -0.02690717275 -0.01359707586 0.01622194943
	 0.02090546133 -0.04007417104 0.03992739208 -0.03608705345 -0.01766404615 0.02176253361
	 0.01266970002 -0.02484953239 0.02559840753 -0.02381435371 -0.01229512355 0.01457462331
	 0.003152776255 -0.006020014364 0.00629825033 -0.006178039078 -0.00349689543 0.004046651176
	 0.007499676865 -0.01416029733 0.01463974272 -0.01424422343 -0.007938851446 0.009278166982
	 0.003651342989 -0.006870883662 0.007217646442 -0.007207699622 -0.004190359249 0.004824291234
	 0.006396625049 -0.0123095796 0.0127577513 -0.01223703612 -0.006667962641 0.00780055005
	 0.01154814643 -0.02191699758 0.02241781225 -0.02134904967 -0.01147150086 0.01357750045
	 0.01568535543 -0.02994894949 0.03038606279 -0.02838691734 -0.0147464324 0.01766334621
	 0.009495050279 -0.01847928131 0.01909808824 -0.01801682067 -0.009536555325 0.01122655655
	 0.01487894472 -0.02642965737 0.02361202589 -0.01975224418 -0.00840282098 0.01201328234
	 0.01810932358 -0.03100460712 0.02662862609 -0.02207768191 -0.009310765296 0.0138901843
	 4.493538767e-32 -7.493602226e-32 6.223241655e-32 -5.117999771e-32 -2.15375064e-32 3.322076407e-32
	 1.757434371e-32 -3.047283687e-32 2.62877132e-32 -2.157242166e-32 -8.90531363e-33 1.337225026e-32
	 0.02798868045 -0.05154347307 0.04874223948 -0.04249425241 -0.0194548305 0.02559159936
	 0.03561586837 -0.06352012309 0.05801501815 -0.04984782712 -0.02224636579 0.03050691745
	 0.02313283769 -0.04203771585 0.0388210483 -0.0331702254 -0.01463812497 0.01995670432
	 0.02916137015 -0.05103170015 0.04522924452 -0.0380924826 -0.01643455085 0.02352562767
	 0.001293002285 -0.00242134866 0.002668901427 -0.002827750084 -0.001784899629 0.001988128844
	 -2.005680673e-29 3.725053467e-29 -4.127728167e-29 4.317107478e-29 2.691994012e-29 -2.982301084e-29
	 0.001172388415 -0.002192859433 0.002374652405 -0.002473250318 -0.001527675286 0.001719840654
	 -9.446577781e-30 1.754092112e-29 -1.943334905e-29 2.032266448e-29 1.266999895e-29 -1.403788856e-29
	 0.00413238662 -0.007720230406 0.008207788128 -0.008364371933 -0.005006246227 0.005707761634
	 0.009819077726 -0.01815795007 0.01906124307 -0.01923510445 -0.01131438492 0.0130196679
	 0.004642899387 -0.00863944438 0.009309722194 -0.009654954023 -0.00591367252 0.006678556059
	 0.008690661263 -0.01618820931 0.01681788907 -0.0166627482 -0.009545189211 0.01108541597
	 0.02830417022 -0.05273269235 0.05098781753 -0.04537855671 -0.02157465188 0.02748256938
	 0.02710868013 -0.05066017424 0.04969802047 -0.045068037 -0.02216950364 0.02762497655
	 0.03646423959 -0.06649527939 0.06355934655 -0.05691514645 -0.02735280296 0.03507995795
	 0.03760223206 -0.06794350084 0.0635614169 -0.05570934092 -0.02575963301 0.03409861867
	 0.02320851723 -0.04346564387 0.04325250774 -0.03999938157 -0.02038198007 0.02488878946
	 0.01562641016 -0.02879225127 0.02955780287 -0.02905100347 -0.01639499299 0.01923004102
	 0.02795935691 -0.05135909893 0.05081358212 -0.04751806667 -0.02466485932 0.03014368226
	 0.01351075498 -0.0252038293 0.02574200699 -0.02486283505 -0.01366197155 0.01613614658
	 0.02214437314 -0.04072727089 0.04097347541 -0.03921190264 -0.02117665042 0.02536189446
	 0.01898572274 -0.0354564841 0.0356861361 -0.03368113849 -0.01778885615 0.02137588702
	 0.03313657287 -0.06072027562 0.05905321052 -0.053974456 -0.02690952131 0.03366186056
	 -1.068087519e-29 1.984151099e-29 -2.199102051e-29 2.300301712e-29 1.434714702e-29 -1.589244204e-29
	 0.001553829008 -0.002926040928 0.003320004772 -0.003584381811 -0.002301309537 0.002520039381
	 -2.266948694e-29 4.212658455e-29 -4.670686383e-29 4.886875626e-29 3.049292908e-29 -3.377046166e-29
	 0.001433130078 -0.002688869499 0.003010621877 -0.003228763837 -0.002064098894 0.002278066379
	 2.806997724e-32 -4.513322029e-32 3.62462576e-32 -3.020843222e-32 -1.325913038e-32 2.058055227e-32
	 0.02182549255 -0.03599464493 0.02979926569 -0.02479012093 -0.01067777637 0.01631756236
	 0.02561003197 -0.04089477485 0.03296861603 -0.02789531177 -0.012580916 0.0191927726
	 6.94512277e-32 -1.081951491e-31 8.541136661e-32 -7.369074791e-32 -3.479871181e-32 5.240479532e-32
	 0.0426949978 -0.06978097532 0.05778746439 -0.04871700522 -0.02154539753 0.03250188346
	 0.04475860304 -0.07717091278 0.06797635747 -0.05781073389 -0.02545254024 0.03634086889
	 0.05430175618 -0.09078766274 0.07752113957 -0.06580598981 -0.02914587738 0.04276691542
	 0.03543270317 -0.05994772951 0.05129040522 -0.04296533418 -0.01851259744 0.02744149395
	 0.04818991288 -0.08554840719 0.07944384379 -0.07027747977 -0.0330715018 0.04382471889
	 0.06088487209 -0.1053498033 0.09520669803 -0.08350784249 -0.03882447613 0.0530044391
	 0.05975765602 -0.1017573921 0.08938673763 -0.07692689576 -0.03470192312 0.04921054233
	 0.04766487199 -0.08368920219 0.07591325121 -0.06578505001 -0.02986407204 0.0409615111
	 0.01104147678 -0.02034522298 0.02165512136 -0.02224152046 -0.01339555355 0.01525441163
	 0.00513557741 -0.009562400693 0.01047372205 -0.01103117573 -0.006885456332 0.007696230785
	 0.005655013035 -0.01054093411 0.0117032725 -0.01245168396 -0.007849116515 0.008700849234
	 0.01219740443 -0.02247152331 0.02427000932 -0.02528386119 -0.01549626678 0.01747354713
	 0.02884044003 -0.05211701253 0.05323432203 -0.05268712438 -0.02993020158 0.03521329309
	 0.01982335599 -0.03614997904 0.03798537222 -0.03863788423 -0.02288086387 0.02630110642
	 0.01764642517 -0.03229307728 0.0334876235 -0.03349588332 -0.01939089543 0.02252714212
	 0.02557148319 -0.04650463229 0.04704474622 -0.04579437167 -0.02538934142 0.03016844774
	 0.03975247578 -0.071637839 0.06943990439 -0.06425711782 -0.03272012262 0.04084540039
	 0.04437486301 -0.07957758702 0.07563130978 -0.06839055771 -0.03344871436 0.04290598424
	 0.05305236127 -0.09378793893 0.08904881648 -0.08163060131 -0.04089705743 0.0521891795
	 0.04611858916 -0.08213634431 0.07979060823 -0.07490921704 -0.03907155597 0.04844387895
	 0.03748596929 -0.06724833462 0.06699007771 -0.06460160474 -0.03521594045 0.04244903679
	 0.03252842392 -0.05894554805 0.05836485317 -0.05535156351 -0.02939511074 0.03574998684
	 0.05842847629 -0.1022948902 0.09475230812 -0.08482633042 -0.04081898458 0.05385984989
	 0.0299013073 -0.04630488966 0.03672799901 -0.03215705598 -0.01554322921 0.02304774249
	 0.0342532866 -0.05177432854 0.0409733893 -0.03744783408 -0.01939494085 0.02758417253
	 1.024309202e-31 -1.521453044e-31 1.209589622e-31 -1.151215677e-31 -6.270469625e-32 8.555546658e-32
	 4.226679174e-32 -6.405617931e-32 5.022642459e-32 -4.529340928e-32 -2.302004647e-32 3.319652688e-32
	 -1.206660073e-29 2.243132563e-29 -2.48799512e-29 2.603912319e-29 1.625566461e-29 -1.79989273e-29
	 0.001801585874 -0.003397992904 0.003890358741 -0.004164905027 -0.00259994864 0.002821704997
	 -2.560444003e-29 4.762341321e-29 -5.285541851e-29 5.534487272e-29 3.457752839e-29 -3.827145507e-29
	 0.001691962806 -0.003191920896 0.003651319074 -0.003943001916 -0.002514744141 0.00273736734
	 0.006145086496 -0.01148442701 0.0128994421 -0.01379354964 -0.008708766882 0.009584664037
	 0.006648659624 -0.01243266547 0.01404734713 -0.01499581219 -0.009376656652 0.01027191934
	 0.01459115406 -0.02696303099 0.029839926 -0.03155274878 -0.01956139221 0.02171700312
	 0.01343967492 -0.02478994302 0.02714522414 -0.02856739652 -0.01768460003 0.01976607375
	 0.06539601568 -0.1059421594 0.08794343275 -0.07533615235 -0.03438056173 0.05103298677
	 0.05009866778 -0.07947112774 0.06431768709 -0.05523670558 -0.02559536669 0.0384202043
	 0.05854390518 -0.09026435181 0.07210789994 -0.06409988529 -0.03175833413 0.0463266933
	 0.07674345866 -0.120961646 0.09850558565 -0.08611235413 -0.04120366131 0.06065923781
	 0.09215112698 -0.1511939851 0.129718889 -0.113704988 -0.05367356249 0.07649671108
	 0.08715600281 -0.1401825395 0.1169235084 -0.1018591014 -0.04800737248 0.07002603257
	 0.07615187864 -0.1281804461 0.1126264288 -0.09839752959 -0.04573881509 0.06414852264
	 0.07240039776 -0.1198671405 0.1024483538 -0.08824655303 -0.04025655357 0.05831787262
	 0.06964777267 -0.1204915327 0.1117866905 -0.101611689 -0.05026309068 0.06573259439
	 0.07363514553 -0.1259609155 0.1138744406 -0.1012878917 -0.04836711645 0.06545686553
	 0.08759098691 -0.1483711783 0.1346859861 -0.12182332 -0.05999385774 0.08017507683
