4225 7	
	 -2.253187197e-31 4.558967252e-31 -7.207695893e-31 4.88906442e-31 9.709274051e-31 -7.549457315e-31 -4.753603366e-31
	 -1.036251844e-35 2.511170896e-35 -3.333475316e-35 1.313958191e-35 4.596545201e-35 -2.443468095e-35 -4.713319767e-35
	 -2.938037097e-05 -3.843834023e-06 9.495378831e-05 -0.0001407926353 -0.0002136686134 0.0001866120347 0.0001151958468
	 -1.024024524e-34 4.223912972e-36 2.817044128e-34 -4.413791448e-34 -6.44853554e-34 5.739765461e-34 3.199423496e-34
	 -9.01321628e-31 1.823680182e-30 -2.883198739e-30 1.955670045e-30 3.883904089e-30 -3.019894102e-30 -1.901676512e-30
	 -6.419115886e-06 -5.840934033e-06 3.512024109e-05 -4.596939941e-05 -7.394262688e-05 6.259342028e-05 4.167913524e-05
	 -5.058458317e-35 8.148935397e-35 -8.486463392e-35 1.765888152e-35 9.278128644e-35 -4.577583409e-35 -6.947367176e-35
	 -1.143556556e-30 2.313653372e-30 -3.657794651e-30 2.481067056e-30 4.927048173e-30 -3.831162152e-30 -2.412056102e-30
	 -5.113197503e-31 1.034529191e-30 -1.635530607e-30 1.109353728e-30 2.203143533e-30 -1.713044653e-30 -1.078672043e-30
	 -6.709805387e-07 -3.399226142e-05 9.720309835e-05 -0.0001019783183 -0.000181623411 0.0001440670249 0.0001085853291
	 7.149768379e-06 -0.0001939492011 0.0005258364835 -0.0005381404169 -0.000972665599 0.000767518926 0.0005868090849
	 0.0001328724892 -0.0005933590335 0.001299786513 -0.001172262203 -0.002271526847 0.00172846446 0.001421956047
	 4.589785281e-34 -1.821859749e-33 3.849554065e-33 -3.383052691e-33 -6.637100577e-33 5.012822346e-33 4.150025372e-33
	 -3.776414506e-36 -2.52163924e-34 7.131274421e-34 -7.410462348e-34 -1.333301712e-33 1.05276021e-33 8.172664181e-34
	 2.319294134e-05 -0.0001783243522 0.0004373746141 -0.0004244373174 -0.0007905407407 0.0006150895328 0.0004865663587
	 0.0001393972586 -0.000475036631 0.0009505263932 -0.0008021401457 -0.001619798085 0.001212624366 0.001041822984
	 0.0001571220566 -0.000644556358 0.001378121036 -0.001222789652 -0.002394897444 0.001815787315 0.001511816237
	 1.963187187e-05 -9.07098608e-05 0.0001999049859 -0.0001810799186 -0.0003499027336 0.0002664517389 0.0002194664666
	 -1.445399321e-30 2.924725339e-30 -4.624653489e-30 3.13758141e-30 6.229330453e-30 -4.84436937e-30 -3.048624457e-30
	 -6.474279364e-31 1.309890904e-30 -2.070963642e-30 1.404812654e-30 2.789544447e-30 -2.169180481e-30 -1.36541141e-30
	 6.012554037e-05 -0.0001817682329 0.0003448272921 -0.0002780789644 -0.0005771209685 0.0004264745692 0.0003767248297
	 6.667648391e-34 -2.057953542e-33 3.93610141e-33 -3.18177403e-33 -6.572671131e-33 4.831844657e-33 4.247448882e-33
